states,male,female,total,per_males,per_females
Aguascalientes,576638,608358,1184996,0.48661598857717664,0.5133840114228234
Baja California,1591610,1563460,3155070,0.5044610737638151,0.49553892623618495
Baja California Sur,325433,311593,637026,0.5108629789050997,0.48913702109490037
Campeche,407721,414720,822441,0.4957449835307335,0.5042550164692665
Chiapas,2352807,2443773,4796580,0.49051761880339745,0.5094823811966026
Chihuahua,1692545,1713920,3406465,0.496862583352537,0.503137416647463
Ciudad de México,4233783,4617297,8851080,0.47833518621456367,0.5216648137854364
Coahuila,1364197,1384194,2748391,0.49636205328863325,0.5036379467113667
Colima,322790,327765,650555,0.49617634173897673,0.5038236582610233
Durango,803890,829044,1632934,0.49229791283664864,0.5077020871633514
Estado de México,7396986,7778876,15175862,0.48741784815913586,0.5125821518408641
Guanajuato,2639425,2846947,5486372,0.48108750190471955,0.5189124980952805
Guerrero,1645561,1743207,3388768,0.4855926991756296,0.5144073008243704
Hidalgo,1285222,1379796,2665018,0.4822564050224051,0.5177435949775949
Jalisco,3600641,3750041,7350682,0.4898376776467816,0.5101623223532183
Michoacán,2102109,2248928,4351037,0.4831282749376758,0.5168717250623243
Morelos,858588,918639,1777227,0.4831054220985839,0.5168945779014161
Nayarit,541007,543972,1084979,0.49863361410681684,0.5013663858931832
Nuevo León,2320185,2333273,4653458,0.49859373395010764,0.5014062660498924
Oaxaca,1819008,1982954,3801962,0.47843929002972674,0.5215607099702733
Puebla,2769855,3009974,5779829,0.4792278456680985,0.5207721543319015
Querétaro,887188,940749,1827937,0.4853493309670957,0.5146506690329044
Quintana Roo,673220,652358,1325578,0.5078690201557359,0.4921309798442642
San Luis Potosí,1260366,1325152,2585518,0.4874713693735646,0.5125286306264354
Sinaloa,1376201,1391560,2767761,0.4972253745897858,0.5027746254102142
Sonora,1339612,1322868,2662480,0.5031444367657222,0.4968555632342778
Tabasco,1100758,1137845,2238603,0.4917164856832587,0.5082835143167412
Tamaulipas,1616201,1652353,3268554,0.4944697257564048,0.5055302742435952
Tlaxcala,565775,604161,1169936,0.48359482911885776,0.5164051708811422
Veracruz,3695679,3947515,7643194,0.4835254737744456,0.5164745262255543
Yucatán,963333,992244,1955577,0.4926080640138435,0.5073919359861565
Zacatecas,726897,763771,1490668,0.4876317194707339,0.5123682805292661
